id,geo_point_2d,geo_shape,clave_cat,delegacion,perimetro,tipo,nom_id
0,"19.424781053,-99.1327537959","{""type"": ""Polygon"", ""coordinates"": [[[-99.13320717470057, 19.423938618803337], [-99.13319852684323, 19.424010128924547], [-99.13318237018329, 19.424168338503964], [-99.13318227479144, 19.42416934989089], [-99.13313488063751, 19.424503330361187], [-99.13307981078493, 19.42490119943712], [-99.13305639015226, 19.425065304485827], [-99.13302954738155, 19.425253474897964], [-99.1330096535818, 19.425392873424844], [-99.13295953610789, 19.425728478759673], [-99.13228612358446, 19.42568712817584], [-99.13226411720453, 19.4256857784603], [-99.13237746305666, 19.424962600693437], [-99.13256844794329, 19.42388232133011], [-99.1325805636821, 19.423796796713326], [-99.13272662782495, 19.42381772956979], [-99.13286232772688, 19.423832880916162], [-99.13302445376655, 19.423832649283614], [-99.13314268253822, 19.423825889422318], [-99.1331324902859, 19.42386286701231], [-99.13318558367915, 19.423862633034744], [-99.13318564207721, 19.423856374979596], [-99.13320539229298, 19.423858103443283], [-99.13321678555052, 19.423859098896056], [-99.13320717470057, 19.423938618803337]]]}",307_130_11,Cuauhtémoc,B,Mercado,Pino Suárez
1,"19.4346139576,-99.1413808393","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14138083925988, 19.434613957598458]]}",002_008_01,Cuautémoc,A,Museo,Museo Nacional de Arquitectura Palacio de Bellas A
2,"19.4340695945,-99.1306348409","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13063484089024, 19.434069594530452]]}",006_002_12,Cuautémoc,A,Museo,Santa Teresa
3,"19.42489472,-99.12073393","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12073392999999, 19.42489472]]}",323_102_06,Venustiano Carranza,B,Hotel,Balbuena
4,"19.42358238,-99.12451093","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12451092999999, 19.42358238]]}",323_115_12,Venustiano Carranza,B,Hotel,real
5,"19.4263287068,-99.1207277209","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12072772086579, 19.426328706826876]]}",323_161_11,Venustiano Carranza,B,Hotel,Baño San Tiago
6,"19.43553422,-99.12324801","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12324800999998, 19.43553422]]}",318_116_11,Venustiano Carranza,B,Hotel,San Antonio Tomatlan
7,"19.436244494,-99.1477350326","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14773503261263, 19.436244493994174]]}",002_004-03,Cuautémoc,B,Hotel,Fontan Reforma
8,"19.4343402009,-99.148212127","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14821212696202, 19.434340200937733]]}",002_014_17,Cuautémoc,B,Hotel,Ambassador
9,"19.4407152937,-99.1498060057","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14980600566317, 19.440715293696577]]}",012_146_22,Cuautémoc,B,Hotel,Detroit
